OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,IsWeekend,OrderMonth,IsDelivered,HasDiscount,AvgItemValue,OrderYear,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DiscountCode_None,DiscountCode_SAVE10,DiscountCode_WINTER15,Quantity_scaled,UnitPrice_scaled,TotalPrice_scaled,ItemsInCart_scaled,AvgItemValue_scaled,OrderMonth_scaled,OrderYear_scaled
ORD200000,2023-01-04,C72649,5,570.62,928 Main St,TRK37947903,7,SAVE10,2853.1,0,1,0,1,407.5857142857143,2023,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,1.4599927111375337,1.0868224981398293,2.1982218088297683,0.6641729724549916,1.2974343365477103,-1.4942119743585196,-1.0224759490947237
ORD200001,2024-08-23,C75739,2,151.35,823 Main St,TRK91186779,3,SAVE10,302.7,0,8,0,1,100.89999999999999,2024,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,-0.6722481651688036,-1.0404260837596455,-0.9173544302403613,-1.0894190340268348,-0.6930012918185955,0.5997787804982646,0.30974027122426084
ORD200002,2024-02-27,C81728,5,550.68,512 Main St,TRK42903982,8,FREESHIP,2753.4,0,2,0,1,344.175,2024,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.4599927111375337,0.9856529970472739,2.0764279917676247,1.1025709740754481,0.8858894257311024,-1.1950704379504076,0.30974027122426084
ORD200003,2023-10-15,C33540,1,273.19,275 Main St,TRK62788070,5,SAVE10,273.19,1,10,0,1,54.638,2023,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,-1.3829951239375826,-0.4222469456895903,-0.9534039341671805,-0.2126230307859216,-0.9932485115299677,1.1980618533144887,-1.0224759490947237
ORD200004,2025-05-08,C81840,4,626.01,668 Main St,TRK29241424,8,SAVE10,2504.04,0,5,1,1,313.005,2025,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.7492457523687547,1.367854527503752,1.7718090727845128,1.1025709740754481,0.6835915173310444,-0.29764582872607154,1.6419564915432456
ORD200005,2023-10-23,C37249,2,245.86,934 Main St,TRK72976927,4,SAVE10,491.72,0,10,0,1,122.93,2023,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,-0.6722481651688036,-0.5609110612793359,-0.6864470350439075,-0.6510210324063782,-0.5500233347427764,1.1980618533144887,-1.0224759490947237
ORD200006,2025-06-17,C83492,1,664.42,986 Main St,TRK96417362,6,SAVE10,664.42,0,6,0,1,110.73666666666666,2025,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-1.3829951239375826,1.562735196358568,-0.4754762004738749,0.22577497083453502,-0.6291598708274104,0.0014957076820405282,1.6419564915432456
ORD200007,2023-05-12,C41460,5,149.55,706 Main St,TRK78809193,9,FREESHIP,747.75,0,5,0,1,83.08333333333333,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,1.4599927111375337,-1.0495587368171477,-0.37368002418713003,1.5409689756959049,-0.8086340926311619,-0.29764582872607154,-1.0224759490947237
ORD200008,2025-04-02,C26817,2,134.28,904 Main St,TRK61042692,2,None,268.56,0,4,0,0,134.28,2025,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-0.6722481651688036,-1.127034076921627,-0.959059955962544,-1.5278170356472913,-0.4763601566760246,-0.5967873651341835,1.6419564915432456
ORD200009,2023-11-21,C31946,4,509.38,102 Main St,TRK33478363,6,SAVE10,2037.52,0,11,0,1,339.58666666666664,2023,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,0.7492457523687547,0.7761093463390234,1.2019068507601258,0.22577497083453502,0.8561104640251157,1.4972033897226007,-1.0224759490947237
ORD200010,2023-12-29,C43443,5,625.97,333 Main St,TRK98859248,9,WINTER15,3129.85,0,12,0,1,347.7611111111111,2023,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.4599927111375337,1.3676515796580297,2.536300433423032,1.5409689756959049,0.9091638170390262,1.7963449261307127,-1.0224759490947237
ORD200011,2024-02-17,C93861,3,49.14,831 Main St,TRK48234646,7,SAVE10,147.42,1,2,0,1,21.06,2024,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.03849879359997556,-1.5590085665414932,-1.1070449409064569,0.6641729724549916,-1.2111746959463021,-1.1950704379504076,0.30974027122426084
ORD200012,2024-10-15,C38785,2,180.5,179 Main St,TRK20419991,6,FREESHIP,361.0,0,10,0,1,60.166666666666664,2024,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,-0.6722481651688036,-0.8925278411895362,-0.8461349765320064,0.22577497083453502,-0.9573666474649121,1.1980618533144887,0.30974027122426084
ORD200013,2023-08-30,C88348,3,201.49,903 Main St,TRK81913874,4,FREESHIP,604.47,0,8,0,1,151.1175,2023,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.03849879359997556,-0.7860309591467715,-0.548711299098504,-0.6510210324063782,-0.36708229229726375,0.5997787804982646,-1.0224759490947237
ORD200014,2023-03-27,C98474,2,393.33,980 Main St,TRK79186539,3,SAVE10,786.66,0,3,0,1,262.21999999999997,2023,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,-0.6722481651688036,0.1873069089372679,-0.3261474522524458,-1.0894190340268348,0.35398935890637506,-0.8959289015422955,-1.0224759490947237
ORD200015,2023-07-17,C39416,1,473.96,942 Main St,TRK54930938,3,None,473.96,0,7,1,0,157.98666666666665,2023,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,-1.3829951239375826,0.5963990289519473,-0.7081427039608952,-1.0894190340268348,-0.32250038504291473,0.3006372440901526,-1.0224759490947237
ORD200016,2023-01-24,C28976,2,533.81,914 Main St,TRK13194259,3,FREESHIP,1067.62,0,1,0,1,355.8733333333333,2023,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6722481651688036,0.9000597431139037,0.017074120884765384,-1.0894190340268348,0.9618133386313268,-1.4942119743585196,-1.0224759490947237
